doi,citation_key,evidence
arXiv:2303.08774,achiam2023,"GPT-4 is a large multimodal model capable of processing image and text inputs and producing text outputs. While less capable than humans in many real-world scenarios, GPT-4 exhibits human-level performance on various professional and academic benchmarks."
10.1186/s13040-024-00371-3,wang2024gpt4,"The study assessed GPT-4's capabilities in generating text, tables, and diagrams for biomedical review papers, and also evaluated consistency in text generation by GPT-4 along with potential plagiarism issues when employing this model for scientific review composition. GPT-4 encountered difficulties with extracting precise and pertinent information for constructing research-related tables."
10.1126/sciadv.adt3813,kobak2025excess,"We analyzed vocabulary changes in more than 15 million biomedical abstracts from 2010 to 2024 indexed by PubMed and showed how the appearance of LLMs led to an abrupt increase in the frequency of certain style words. Our excess word analysis suggests that at least 13.5% of 2024 abstracts were processed with LLMs."
arXiv:1810.08055,rule2018jupyter,"Jupyter notebooks combine detailed workflows with narrative text and visualization of results. Combined with software repositories and open source licensing, notebooks are powerful tools for transparent, collaborative, reproducible, and reusable data analyses."
10.1186/s12859-017-1747-0,kanwal2017provenance,"Reproducibility is one of the core principles for any scientific workflow and remains a challenge which is not fully addressed due to incomplete understanding of reproducibility requirements and assumptions of workflow definition approaches. We implemented a complex but widely deployed bioinformatics workflow using three representative approaches to workflow definition and execution."
10.1093/gigascience/giaf152,matentzoglu2025linkml,"LinkML (Linked Data Modeling Language) is an open framework that simplifies the process of authoring, validating, and sharing data. LinkML can describe a range of data structures, from flat, list-based models to complex, interrelated, and normalized models that utilize polymorphism and compound inheritance."
arXiv:2408.06292,lu2024scientist,"We introduce The AI Scientist, the first comprehensive framework for fully automatic scientific discovery, enabling Foundation Models to perform research independently and communicate their findings. Each idea is implemented and developed into a full paper at a cost of less than $15 per paper."
arXiv:2504.08066,lu2025scientist_v2,"The AI Scientist-v2 is an end-to-end agentic system capable of producing the first entirely AI generated peer-review-accepted workshop paper. Compared to its predecessor, The AI Scientist-v2 eliminates reliance on human-authored code templates and generalizes effectively across diverse machine learning domains."
10.1162/tacl_a_00454,guo2022survey,"We survey automated fact-checking research stemming from natural language processing, focusing on the task definition, data, modeling and explanation. An NLP framework for automated fact-checking consists of three stages: (i) claim detection, (ii) evidence retrieval, and (iii) claim verification."
10.1038/s41597-025-04786-3,workflowhub,"WorkflowHub provides a unified registry for all computational workflows that links to community repositories and supports making workflows findable, accessible, interoperable, and reusable (FAIR). WorkflowHub was launched in 2020 and has grown to over 900 workflows across multiple scientific domains."
https://www.usenix.org/conference/tapp13/technical-sessions/presentation/chirigati,chirigati2013reprozip,"ReproZip systematically captures detailed provenance of existing experiments by tracking operating system calls, including data dependencies, libraries used, and configuration parameters, which is combined into a package that can be installed and run on a different environment."
https://www.anthropic.com/engineering/equipping-agents-for-the-real-world-with-agent-skills,anthropic_skills,"Agent Skills are organized folders of instructions, scripts, and resources that agents can discover and load dynamically to perform better at specific tasks. Skills are token-efficient, only occupying a few dozen tokens until fully loaded."
https://www.rayyan.ai/,rayyan,"Rayyan is an AI-powered platform designed for efficient systematic literature review management that enhances collaborative research with powerful review automation and streamlined data management. Rayyan's AI streamlines your review process, reducing screening time by up to 90%."
https://elicit.com/,elicit,"Elicit stands out by pulling key insights and structured data directly from academic database with over 125 million papers and saves time on evidence collection and synthesis by generating editable research reports. Researchers report up to 80% time savings using Elicit for systematic reviews."
https://www.semanticscholar.org/,semanticscholar,"Semantic Scholar uses groundbreaking AI and engineering to understand the semantics of scientific literature to help scholars discover relevant research. Built by the non-profit Allen Institute for AI (AI2), it combines a large literature index with AI features like TLDR summaries, a modern reader that augments PDFs, and personalized research feeds."
https://www.researchrabbit.ai,researchrabbit,"ResearchRabbit is an AI tool to find related papers, build citation maps, and track research trends. It maps relationships between studies, authors, and research topics through citation analysis."
https://paperpal.com/paperpal-for-researchers,paperpal,"AI-driven tools significantly enhance efficiency by expediting the writing process and can swiftly generate drafts and summaries, allowing researchers to focus more on research and analysis."
https://scispace.com/,scispace,"SciSpace provides AI-powered literature analysis and can automatically generate citations in multiple formats, supporting researchers with literature review and writing tasks."
https://paperguide.ai/,paperguide,"Paperguide serves as an AI research assistant providing automated literature review capabilities, citation management, and writing support for academic researchers."
https://github.com/linkml/linkml-reference-validator,linkml_refval,"The LinkML reference validator fetches scientific publications (currently PubMed/PMC) and verifies that quoted text (supporting_text) can be found in the referenced document using deterministic substring matching."
https://www.w3.org/TR/prov-overview/,w3c_prov,"PROV is a set of recommended standards of the World Wide Web Consortium that include its data model, an XML schema for that model, an OWL2 ontology mapping that model to RDF. The PROV standard defines a data model, serializations, and definitions to support the interchange of provenance information on the Web."
https://purl.dataone.org/provone-v1-dev,provone,"ProvONE is a standard for scientific workflow provenance representation defined as an extension of the W3C recommended standard PROV, aiming to capture the most relevant information concerning scientific workflow computational processes."
https://en.wikipedia.org/wiki/Scientific_workflow_system,scientific_workflows,"A scientific workflow is the description of a process for accomplishing a scientific objective, usually expressed in terms of tasks and their dependencies. Typically, scientific workflow tasks are computational steps for scientific simulations or data analysis steps."
https://www.dip-ai.com/use-cases/en/the-best-scientific-workflow-automation,dip_ai_workflows,"Galaxy, Nextflow, AiiDA, and Kepler are recognized as leading tools for scientific workflow automation with outstanding innovation, proven performance, and versatility across diverse scientific applications. These platforms are comprehensive systems designed to build, execute, and manage multi-step computational or data-processing pipelines."
https://www.preprints.org/manuscript/202511.1542/v1,adversarial_ml_review,"Authors may attempt to manipulate AI review systems through adversarial techniques, as LLM systems operate through predictable patterns and may be vulnerable to gaming strategies. Hidden prompt injections embedded in manuscripts can steer AI-generated reviews toward unjustifiably positive judgments."
https://originality.ai/automated-fact-checker,originality_ai_factcheck,"AI fact checkers built to review AI-generated text can detect hallucinations or misleading claims and replace them with accurate, verified information. Even automated fact-checking tools show accuracy rates around 86.69%, meaning tools should be used as a fact-checking aid and not viewed as the final source of truth."
https://pmc.ncbi.nlm.nih.gov/articles/PMC10727453/,chatgpt4_intros,"A study investigating whether GPT-4 is equal to humans in writing introduction sections for scientific articles instructed GPT-4 to synthesize 18 introduction sections based on the aim of previously published studies. The study found GPT-4 and human researchers produced introductions of comparable quality."
https://www.accio.com/blog/claude-ai-skills-cut-business-workflows-by-90-in-2024,accio_claude_skills,"Claude AI introduced Skills, cutting workflow execution time by an unprecedented 90% across multiple industries. These modular capabilities transform general-purpose AI agents into domain-specific specialists, enabling businesses to automate complex tasks without requiring extensive technical expertise."
https://arxiv.org/abs/2507.01075,provml,"The yProv4ML library is designed to collect provenance data in JSON format, compliant with the W3C PROV and ProvML standards, specifically addressing provenance tracking needs in large-scale machine learning systems."
